SessionID,CalculatedOptimalDifficulty,SelectedOptimalDifficultyMedian,SelectedOptimalDifficultyRange,DifficultyPreferenceDelta,DifficultyPreferenceFactor,Treatment,Condition,ConditionDifficultyMean,ConditionDifficultyMedian,TrialDurationMean,NrTrialsFalse,NrTrialsCorrect,PctTrialsCorrect
session_65b-SP,6,6,0,0,BAL_PREF,SP,MATH_FLOW,7.89473684210526,8,12996.4736842105,4,15,0.789473684210526
session_65b-SP,6,6,0,0,BAL_PREF,SP,MATH_OVERLOAD,16.8,17,28000.3,10,0,0
session_66-SP,6,9,0,3,OVER_PREF,SP,MATH_AUTONOMY,8.66666666666667,9,23101.6666666667,4,8,0.666666666666667
session_66-SP,6,9,0,3,OVER_PREF,SP,MATH_BOREDOM,0,0,8763.04,0,25,1
session_66-SP,6,9,0,3,OVER_PREF,SP,MATH_FLOW,7.21428571428571,7,19121.2857142857,4,10,0.714285714285714
session_66-SP,6,9,0,3,OVER_PREF,SP,MATH_OVERLOAD,16.8,17,28001.9,10,0,0
session_67-MP,4,3,4,-1,UNDER_PREF,MP,MATH_AUTONOMY,5,5,17223.8,0,15,1
session_67-MP,4,3,4,-1,UNDER_PREF,MP,MATH_BOREDOM,0,0,10633.4545454545,0,22,1
session_67-MP,4,3,4,-1,UNDER_PREF,MP,MATH_FLOW,5.76470588235294,6,14546.0588235294,2,15,0.882352941176471
session_67-MP,4,3,4,-1,UNDER_PREF,MP,MATH_OVERLOAD,14.9,15,28002.1,9,1,0.1
session_67-SP,6,3,0,-3,UNDER_PREF,SP,MATH_AUTONOMY,5.35,5,12355.55,2,18,0.9
session_67-SP,6,3,0,-3,UNDER_PREF,SP,MATH_BOREDOM,0,0,8767,0,25,1
session_67-SP,6,3,0,-3,UNDER_PREF,SP,MATH_FLOW,6.875,7,15384.1875,4,12,0.75
session_67-SP,6,3,0,-3,UNDER_PREF,SP,MATH_OVERLOAD,16.8,17,28001.4,10,0,0
session_68-MP,1,2,3,1,OVER_PREF,MP,MATH_AUTONOMY,3,3,15732.4375,3,13,0.8125
session_68-MP,1,2,3,1,OVER_PREF,MP,MATH_BOREDOM,0,0,10890.9090909091,0,22,1
session_68-MP,1,2,3,1,OVER_PREF,MP,MATH_FLOW,2.57142857142857,2.5,18505.3571428571,2,12,0.857142857142857
session_68-MP,1,2,3,1,OVER_PREF,MP,MATH_OVERLOAD,11.8,12,28000.1,10,0,0
session_68-SP,5,5,0,0,BAL_PREF,SP,MATH_AUTONOMY,6.86666666666667,7,16952.6,1,14,0.933333333333333
session_68-SP,5,5,0,0,BAL_PREF,SP,MATH_BOREDOM,0,0,9197.29166666667,0,24,1
session_68-SP,5,5,0,0,BAL_PREF,SP,MATH_FLOW,6.66666666666667,7,17256.2666666667,3,12,0.8
session_68-SP,5,5,0,0,BAL_PREF,SP,MATH_OVERLOAD,15.8,16,28000.7,10,0,0
session_69-MP,5,12,11,7,OVER_PREF,MP,MATH_AUTONOMY,13.0833333333333,13,22242.0833333333,3,9,0.75
session_69-MP,5,12,11,7,OVER_PREF,MP,MATH_BOREDOM,0,0,9488.86956521739,0,23,1
session_69-MP,5,12,11,7,OVER_PREF,MP,MATH_FLOW,7,7,17249.2,0,15,1
session_69-MP,5,12,11,7,OVER_PREF,MP,MATH_OVERLOAD,16.6,17,27156.9,7,3,0.3
session_69-SP,4,5,0,1,OVER_PREF,SP,MATH_AUTONOMY,5.86666666666667,6,17200.0666666667,5,10,0.666666666666667
session_69-SP,4,5,0,1,OVER_PREF,SP,MATH_BOREDOM,0,0,9692,0,23,1
session_69-SP,4,5,0,1,OVER_PREF,SP,MATH_FLOW,5.53333333333333,5,18745.2,3,12,0.8
session_69-SP,4,5,0,1,OVER_PREF,SP,MATH_OVERLOAD,14.8,15,28000.8,10,0,0
session_70-SP,5,9,0,4,OVER_PREF,SP,MATH_AUTONOMY,8.83333333333333,9,23892.1666666667,3,9,0.75
session_70-SP,5,9,0,4,OVER_PREF,SP,MATH_BOREDOM,0,0,8838.96,0,25,1
session_70-SP,5,9,0,4,OVER_PREF,SP,MATH_FLOW,5.13333333333333,5,16927.1333333333,3,12,0.8
session_70-SP,5,9,0,4,OVER_PREF,SP,MATH_OVERLOAD,15.8,16,28002.6,10,0,0
session_71-SP,4,5,0,1,OVER_PREF,SP,MATH_AUTONOMY,6.69230769230769,7,20274.6153846154,0,13,1
session_71-SP,4,5,0,1,OVER_PREF,SP,MATH_BOREDOM,0,0,9888.13043478261,0,23,1
session_71-SP,4,5,0,1,OVER_PREF,SP,MATH_FLOW,5.57142857142857,6,19463.4285714286,2,12,0.857142857142857
session_71-SP,4,5,0,1,OVER_PREF,SP,MATH_OVERLOAD,14.8,15,28002.2,10,0,0
session_72-MP,3,3,3,0,BAL_PREF,MP,MATH_AUTONOMY,3.6,4,16658,3,12,0.8
session_72-MP,3,3,3,0,BAL_PREF,MP,MATH_BOREDOM,0,0,11856.25,0,20,1
session_72-MP,3,3,3,0,BAL_PREF,MP,MATH_FLOW,4.64285714285714,5,19252.6428571429,2,12,0.857142857142857
session_72-MP,3,3,3,0,BAL_PREF,MP,MATH_OVERLOAD,13.8,14,28001.6,10,0,0
session_72-SP,4,2,0,-2,UNDER_PREF,SP,MATH_AUTONOMY,4,4,12339.9,4,16,0.8
session_72-SP,4,2,0,-2,UNDER_PREF,SP,MATH_BOREDOM,0,0,10686,0,22,1
session_72-SP,4,2,0,-2,UNDER_PREF,SP,MATH_FLOW,5.375,6,16423.9375,4,12,0.75
session_72-SP,4,2,0,-2,UNDER_PREF,SP,MATH_OVERLOAD,14.6363636363636,15,25890.9090909091,11,0,0
